X,Y,,truck_name,repair_type,date_fixed,strHeading,address,activity_type,longitude,latitude,OBJECTID
-76.152081944029206,43.048309707741303,7204,285,SNOW&ICE,2018-01-0302:27:14.000,N,301SALINASTS&FAYETTEST,StartMoving,-76.1520819440292,43.0483097077413,14137
-76.152081244029603,43.048318107742901,7205,285,SNOW&ICE,2018-01-0302:27:15.000,N,301SALINASTS&FAYETTEST,StopMoving,-76.1520812440296,43.0483181077429,14138
-76.152158944097096,43.048905107847702,7216,285,SNOW&ICE,2018-01-0302:27:25.000,N,216-26SALINASTS&FAYETTEST,StartMoving,-76.1521589440971,43.0489051078477,14139
-76.151957244066594,43.0493912079449,7224,285,SNOW&ICE,2018-01-0302:27:35.000,E,201SALINASTS&WASHINGTON,,-76.1519572440666,43.0493912079449,14140
-76.150841243706296,43.049416707992798,7232,285,SNOW&ICE,2018-01-0302:27:51.000,SE,208WARRENSTS&WASHINGTON,,-76.1508412437063,43.0494167079928,14141
-76.1508481436681,43.048854407889202,7245,285,SNOW&ICE,2018-01-0302:28:07.000,S,214-18WARRENSTS&FAYETTEST,StopMoving,-76.1508481436681,43.0488544078892,14142
-76.151020643722902,43.048838607879603,7249,285,SNOW&ICE,2018-01-0302:28:11.000,W,214-18WARRENSTS&FAYETTEST,,-76.1510206437229,43.0488386078796,14143
-76.151683943934799,43.048791707845297,7261,285,SNOW&ICE,2018-01-0302:28:18.000,W,215-23SALINASTS&FAYETTEST,StartMoving,-76.1516839439348,43.0487917078453,14144
-76.152170744100104,43.048894407845303,7268,285,SNOW&ICE,2018-01-0302:28:27.000,N,216-26SALINASTS&FAYETTEST,,-76.1521707441001,43.0488944078453,14145
-76.152033644166195,43.050430908132903,7291,285,SNOW&ICE,2018-01-0302:28:51.000,NE,101-13WATERSTE&SALINASTS,,-76.1520336441662,43.0504309081329,14146
-76.150818243771994,43.050431408180103,7308,285,SNOW&ICE,2018-01-0302:29:11.000,SE,100WATERSTE&WARRENSTS,,-76.150818243772,43.0504314081801,14147
-76.150761143704401,43.049750908057298,7325,285,SNOW&ICE,2018-01-0302:29:28.000,SW,140GENESEESTE&WARRENST,,-76.1507611437044,43.0497509080573,14148
-76.152048944117595,43.0496856079954,7337,285,SNOW&ICE,2018-01-0302:29:47.000,NW,131SALINASTS&WASHINGTON,,-76.1520489441176,43.0496856079954,14149
