X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,OBJECTID
-76.145939143886437,43.073995612697658,178,SNOW & ICE,2017-03-13 00:02:34.000,2017-03-13 00:02:34.000,2308 GRANT BLVD & MCCHESNEY PK                    ,,-76.1459391438864,43.0739956126977,45
-76.164791947091985,43.033576604541253,283,SNOW & ICE,2017-03-13 00:02:37.000,2017-03-13 00:02:37.000,116 ONONDAGA AVE                                  ,    Spreader On,-76.164791947092,43.0335766045413,46
-76.145777743828219,43.073914912689112,178,SNOW & ICE,2017-03-13 00:02:40.000,2017-03-13 00:02:40.000,114 MCCHESNEY PARK DR                             ,,-76.1457777438282,43.0739149126891,47
-76.147280942660771,43.050938608410299,265,SNOW & ICE,2017-03-13 00:02:40.000,2017-03-13 00:02:41.000,327-35 WATER ST E & STATE ST S &                  ,,-76.1472809426608,43.0509386084103,48
-76.144993243501531,43.072914912535879,178,SNOW & ICE,2017-03-13 00:02:42.000,2017-03-13 00:02:42.000,2209-11 GRANT BLVD                                ,    Start Moving,-76.1449932435015,43.0729149125359,49
-76.147452942714438,43.050908908398178,265,SNOW & ICE,2017-03-13 00:02:44.000,2017-03-13 00:02:44.000,327-35 WATER ST E & STATE ST S &                  ,,-76.1474529427144,43.0509089083982,50
-76.165391447262024,43.033237404455683,283,SNOW & ICE,2017-03-13 00:02:47.000,2017-03-13 00:02:47.000,120 ONONDAGA AVE & BELLEVUE A                     ,,-76.165391447262,43.0332374044557,51
-76.147444642704301,43.05080560837952,265,SNOW & ICE,2017-03-13 00:02:48.000,2017-03-13 00:02:48.000,327-35 WATER ST E & STATE ST S &                  ,,-76.1474446427043,43.0508056083795,52
-76.165578645992341,43.014743201047985,263,SNOW & ICE,2017-03-13 00:02:48.000,2017-03-13 00:02:48.000,200 LYNCH AVE & EDGEWOOD AVE                      ,,-76.1655786459923,43.014743201048,53
-76.111344231321695,43.055420110624418,179,SNOW & ICE,2017-03-13 00:02:48.000,2017-03-13 00:02:49.000,1820 EB I 690 SYRACUSE 13210                      ,,-76.1113442313217,43.0554201106244,54
