block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID,FID
200,CULVER,DR,,7,3,5,290,23,4/15,1997,O,Local,3,12581180,2197
200,CHARMOUTH,DR,,4,2,3,337,27,4/15,1991,O,Local,3,12572032,2198
200,HIAWATHA,BLVD,W,5,3,3,1550,59,4/15,,F,MA,6,13018251,2199
200,MAINS,AVE,,6,4,3,273,28,4/15,1996,O,Local,3,12571768,2200
200,MILFORD,DR,E,5,3,3,495,24,4/14,,O,Local,3,13012243,2201
200,CUMBERLAND,PL,,8,4,5,410,27,1.02,1997,O,Local,3,12578418,2202
200,CHELTENHAM,RD,E,5,3,2,507,25,6/15,,O,Local,3,12576543,2203
200,GEORGE,ST,,6,3,5,354,26,5/15,2004,O,Local,3,12580521,2204
200,HICKORY,ST,,6,3,4,202,27,4/14,2003,F,Local,6,12577941,2205
200,MAINS,AVE,,6,4,3,273,28,4/15,1996,O,Local,3,13020786,2206
200,MILFORD,DR,E,5,3,3,495,24,4/14,,O,Local,3,13012247,2207
200,CURTIS,ST,,6,3,5,350,27,4/15,2002,O,Local,3,12580149,2208
200,CHEMUNG,ST,,7,4,4,400,36,4/15,2002,F,Local,6,12574858,2209
200,HIER,AVE,,6,3,3,898,27,4/14,2001,F,Local,6,12580117,2210
200,GERE,AVE,,5,3,3,713,19,6/14,,O,Local,3,12574837,2211
200,CHERRY,ST,,8,3,5,484,34,6/15,2007,F,Local,6,12578203,2212
200,HIGHLAND,AVE,,3,2,2,675,30,5/15,1991,F,Local,6,12580096,2213
200,DAKIN,ST,,6,3,4,295,27,6/15,1989,O,Local,3,12578789,2214
200,GERE,AVE,,5,3,3,713,19,6/14,,O,Local,3,13013151,2215
200,MILFORD,DR,W,7,3,5,520,29,4/15,2005,O,Local,3,13012244,2216
200,MALVERNE,DR,,6,3,4,587,27,4/14,1997,O,Local,3,12580613,2217
200,GERTRUDE,ST,,6,3,2,325,27,4/15,2004,F,Local,6,12578088,2218
200,MILFORD,DR,W,7,3,5,520,29,4/15,2005,O,Local,3,13012245,2219
200,MAPLE,ST,,4,2,2,290,27,4/14,,F,Local,6,12578201,2220
200,CHURCHILL,AVE,,7,3,5,395,24,5/14,2003,O,Local,3,12576752,2221
200,HIGHLAND,ST,,5,3,2,342,27,4/14,1991,F,Local,6,12580091,2222
200,DAKOTA,ST,,6,3,4,325,32,5/14,,O,Local,3,12578414,2223
200,GIFFORD,PKWY,,6,2,4,600,36,6/15,2004,O,Local,3,12579560,2224
200,MILFORD,DR,W,7,3,5,520,29,4/15,2005,O,Local,3,12581237,2225
200,MAPLEHURST,AVE,,5,3,3,740,,4/15,1982,F,Local,6,12580669,2226
200,CHURCHILL,AVE,,7,3,5,395,24,5/14,2003,O,Local,3,13012949,2227
200,HIGHRIDGE,DR,,5,2,5,408,21,3/15,,O,Local,3,13002122,2228
200,DALE,ST,,5,3,2,1055,27,4/15,2004,F,Local,6,12580575,2229
200,GIFFORD,PKWY,,6,2,4,600,36,6/15,2004,O,Local,3,13011119,2230
200,MILNOR,AVE,,6,3,4,686,23,6/15,,O,Local,3,12578887,2231
200,MAPLEWOOD,AVE,,5,2,3,680,30,6/15,1991,O,Local,3,12564415,2232
200,MARCELLUS,ST,,5,3,2,400,35,6/14,,F,Local,6,12573634,2233
200,MILTON,AVE,,6,3,3,534,35,4/15,2004,F,Local,6,12572737,2234
200,GIFFORD,ST,,5,3,1,459,30,4/15,,F,Local,6,12573662,2235
200,DANFORTH,ST,,4,2,2,330,30,4/14,,F,Local,6,12575150,2236
200,HILLSDALE,AVE,,5,3,3,816,27,4/14,,O,Local,3,12580981,2237
200,CLAIRMONTE,AVE,,6,4,4,500,28,3/15,2000,F,Local,6,12572991,2238
200,DARLINGTON,RD,,7,4,3,375,,4/14,,O,Local,3,12580642,2239
200,GILBERT,AVE,,6,3,4,555,26,4/14,,O,Local,3,12580174,2240
200,MITCHELL,AVE,,6,3,3,874,30,6/14,1995,O,Local,3,12571809,2241
200,MARCELLUS,ST,W,6,3,3,330,,6/14,1995,O,Local,3,13013143,2242
200,DAVIS,ST,,7,4,3,800,30,4/14,2003,F,Local,6,12573106,2243
200,CLARENCE,AVE,,5,3,2,360,27,6/15,,O,Local,3,12576619,2244
200,HILLSIDE,ST,,4,2,2,318,27,4/15,1993,F,Local,6,13001399,2245
200,GIRARD,AVE,,5,3,3,580,26,6/14,,O,Local,3,12571945,2246
200,MARCELLUS,ST,W,6,3,3,330,,6/14,1995,O,Local,3,13002356,2247
200,MONTANA,ST,,6,2,4,104,30,5/14,,O,Local,3,12578493,2248
200,CLARENDON,ST,,4,3,2,350,24,4/14,2001,F,Local,6,12577615,2249
200,HILLSIDE,ST,,4,2,2,318,27,4/15,1993,F,Local,6,12580629,2250
200,DAWES,AVE,,7,3,5,207,26,5/14,2003,O,Local,3,12576709,2251
200,MONTGOMERY,ST,,5,4,2,315,30,4/14,,F,CO,6,12577696,2252
200,MARCELLUS,ST,W,6,3,3,330,,6/14,1995,O,Local,3,12573426,2253
200,DEFOREST,RD,,5,3,3,686,27,5/14,1996,O,Local,3,12578919,2254
200,GLEN,AVE,E,7,3,5,441,25,6/15,1993,O,Local,3,12576635,2255
200,HILLVIEW,AVE,,3,1,3,575,27,6/14,,F,Local,6,12572025,2256
200,CLARKE,ST,,5,3,2,466,27,5/14,2001,F,Local,6,12578519,2257
200,MONTICELLO,DR,S,4,2,4,531,26,5/14,,O,Local,3,12576557,2258
200,GLEN,AVE,W,6,4,2,321,24,6/15,,O,Local,3,12576590,2259
200,DEFOREST,RD,,5,3,3,686,27,5/14,1996,O,Local,3,12578928,2260
200,MARGUERITE,AVE,,6,3,3,538,28,6/14,2003,O,Local,3,12572077,2261
200,CLEVELAND,AVE,,4,3,2,954,27,4/14,,F,Local,6,12580217,2262
